pu_month,pu_day,pu_year,pu_time,do_month,do_day,do_year,do_time,htp_am,htp_pm,trip_period,passenger_count,trip_distance,pu_loc_id,pu_taxi_zone,do_loc_id,do_taxi_zone,payment_type_readable,total_cost
01,01,2017,00:14,01,01,2017,00:27,0,0,Late Night,2,3.02,90,Flatiron,141,Lenox Hill West,Cash,12.8
01,01,2017,00:28,01,01,2017,00:31,0,0,Late Night,2,0.96,141,Lenox Hill West,262,Yorkville East,Credit card,7.56
01,01,2017,00:42,01,01,2017,00:47,0,0,Late Night,1,1.12,263,Yorkville West,237,Upper East Side South,Credit card,8.76
01,01,2017,00:50,01,01,2017,00:56,0,0,Late Night,1,0.77,237,Upper East Side South,237,Upper East Side South,Cash,7.3
01,01,2017,00:59,01,01,2017,01:06,0,0,Late Night,1,2.6,237,Upper East Side South,74,East Harlem North,Credit card,13.39
01,01,2017,00:18,01,01,2017,00:28,0,0,Late Night,2,1.8,239,Upper West Side South,48,Clinton East,Cash,10.3
01,01,2017,00:47,01,01,2017,00:55,0,0,Late Night,2,1.6,50,Clinton West,246,West Chelsea/Hudson Yards,Cash,9.3
01,01,2017,00:57,01,01,2017,01:13,0,0,Late Night,2,1.3,246,West Chelsea/Hudson Yards,48,Clinton East,Cash,12.3
01,01,2017,00:17,01,01,2017,00:21,0,0,Late Night,1,0.9,141,Lenox Hill West,262,Yorkville East,Cash,6.3
01,01,2017,00:23,01,01,2017,00:25,0,0,Late Night,1,0.6,262,Yorkville East,75,East Harlem South,Cash,5.3
01,01,2017,00:27,01,01,2017,00:46,0,0,Late Night,2,5.1,75,East Harlem South,137,Kips Bay,Cash,19.8
01,01,2017,00:49,01,01,2017,01:07,0,0,Late Night,1,3.8,137,Kips Bay,75,East Harlem South,Credit card,19.55
01,01,2017,00:21,01,01,2017,00:25,0,0,Late Night,2,0.76,238,Upper West Side North,238,Upper West Side North,Credit card,5.8
01,01,2017,00:28,01,01,2017,00:55,0,0,Late Night,1,11.2,238,Upper West Side North,126,Hunts Point,Cash,34.8
